song,artist
Igual Que Un Ángel,Kali Uchis & Peso Pluma
Sugar Daddy (feat. Flo Rida & Jowell & Randy),"Oya Baby, El Alfa & Alex Sensation"
La Diabla,Xavi
Gasolina (Dj Buddha Remix),"Daddy Yankee, Lil Jon, Noriega & Pitbull"
La Víctima,Xavi
MONACO,Bad Bunny
Necesito Encontrarte (En Vivo),Carin Leon
QLONA,KAROL G & Peso Pluma
HARLEY QUINN,Fuerza Regida & Marshmello
BELLAKEO,Peso Pluma & Anitta
La Primera Cita,Carin Leon
Según Quién,Maluma & Carin Leon
First Love,Oscar Ortiz & Edgardo Nuñez
La Suma,Javier Rosas y Su Artillería Pesada & Lupe Borbon y su Blindaje 7
Bailando Bachata,Chayanne
Te Lo Agradezco,Kany García & Carin Leon
Pepas,Farruko
MI EX TENÍA RAZÓN,KAROL G
Punta Cana,Marc Anthony
Danza Kuduro (feat. Lucenzo),Don Omar
POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar),Becky G
La Intención,Christian Nodal & Peso Pluma
BONITA,Daddy Yankee
"Whenever, Wherever",Shakira
Livin' la Vida Loca,Ricky Martin
Tití Me Preguntó,Bad Bunny
un x100to,Grupo Frontera & Bad Bunny
La Bebe (Remix),Yng Lvcas & Peso Pluma
Qué Agonía,Yuridia & Ángela Aguilar
Labios Mordidos,Kali Uchis & KAROL G
Modo DND,Xavi & Tony Aguirre
Vivir Mi Vida,Marc Anthony
Conga,Gloria Estefan & Gloria Estefan & Miami Sound Machine
Que Vuelvas,Carin Leon & Grupo Frontera
AMARGURA,KAROL G
Gasolina,Daddy Yankee
Overnight,Connor Price & Tommy Royale
La Cumbia Triste,Los Ángeles Azules & Alejandro Fernández
"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap & Young Miko
Historia,Jay Wheeler
BAD BOY (feat. Anuel AA & Ozuna),"Chris Jedi, Gaby Music & Dei V"
Patadas de Ahogado,LATIN MAFIA & Humbe
Eres Mía,Romeo Santos
Despacito,Luis Fonsi & Daddy Yankee
Mi Tierra,Gloria Estefan
Ocean,KAROL G
Ella Baila Sola,Eslabon Armado & Peso Pluma
Dreaming Of You,Selena
Confieso,Kany García
TULUM,Peso Pluma & Grupo Frontera
"Give Me Everything (feat. Afrojack, Nayer and Neyo)",Pitbull
LALA,Myke Towers
PERRO NEGRO,Bad Bunny & Feid
Lo Tienes Todo,Julión Álvarez y su Norteño Banda
Lollipop,Darell
Alucin,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel"
LA FALDA,Myke Towers
BLING BLING,"Maluma, Octavio Cuadras & Grupo Marca Registrada"
Sin Pagar Renta,Xavi
No Está Pa' Nadie,Julian Daza
Suavemente,Elvis Crespo
Promise (feat. Usher),Romeo Santos
Macarena (Bayside Boys Remix),Los del Río
DUELE EL CORAZON (feat. Wisin),Enrique Iglesias
DÁKITI,Bad Bunny & Jhayco
MAMIII,Becky G & KAROL G
TQG,KAROL G & Shakira
Yo Te Extrañaré,Tercer Cielo
La Bachata,Manuel Turizo
Bailamos,Enrique Iglesias
I Like It (feat. Pitbull),Enrique Iglesias
Bidi Bidi Bom Bom,Selena
LADY GAGA,"Peso Pluma, Gabito Ballesteros & Junior H"
Ya No Somos Ni Seremos,Christian Nodal
BOMBÓN,"Daddy Yankee, El Alfa & Lil Jon"
EL AMOR DE SU VIDA,Grupo Frontera & Grupo Firme
RUBICON,Peso Pluma
ASI ES LA VIDA,Enrique Iglesias & Maria Becerra
Fría,Enrique Iglesias & Yotuel
El Amor De Mi Vida,Los Ángeles Azules & Maria Becerra
DILUVIO,Rauw Alejandro
Poco A Poco,Xavi & Los Dareyes De La Sierra
Tacata (Remix),"Tiagz, Fuerza Regida & El Alfa"
Somos Latinos,"Play-N-Skillz, Gente de Zona & Dale Pututi"
ALV,Arcángel & Grupo Frontera
fantasmas,Humbe
BUBALU,Feid & Rema
Alch Si,Carin Leon & Grupo Frontera
Porte de Scarface,Chuy Montana
Qué Bendición,Chuy Montana
El Mejor,Chayín Rubio
GAVILÁN II,Peso Pluma & Tito Double P
Bochinchero,Motiff & Tito Nieves
Madrid City,Ana Mena
TÚ NAME,Fuerza Regida
Cuando Él Me Toca (feat. Arianny Aquino),Propósito
Asignatura Pendiente,Alfredo Olivas
tu,EthanUno
Fuego,Pitbull
Hotel California (Spanish Mix),Gipsy Kings
