danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0.682,0.514,5,-11.511,0,0.0344,0.00293,0.466,0.0314,0.871,126.992,3eW0EErw6RJrEr0CkgHKDi,209000,4
0.723,0.969,6,-4.516,1,0.142,0.0643,0.0,0.115,0.728,126.653,54OR1VDpfkBuOY5zZjhZAY,286800,4
0.885,0.664,1,-11.795,1,0.0524,0.145,0.0483,0.0767,0.906,121.632,3K7Q9PHUWPTaknlbFPThn2,298867,4
0.878,0.821,11,-9.875,1,0.089,0.126,0.0461,0.183,0.947,118.881,46eu3SBuFCXWsPT39Yg3tJ,365467,4
0.729,0.936,9,-7.536,1,0.0776,0.0129,0.000892,0.0367,0.598,131.986,06hsdMbBxWGqBO0TV0Zrkf,194000,4
0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,0GONea6G2XdnHWjNZd6zt3,216053,4
0.476,0.722,0,-10.017,1,0.0646,0.598,0.0,0.184,0.909,92.966,3TlIt0ReIxPsVZcOEivT5U,119800,4
0.599,0.761,0,-6.887,1,0.0421,0.713,4.74e-06,0.349,0.712,77.015,6xdLJrVj4vIXwhuG8TMopk,163373,4
0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,1JSTJqkT5qHq8MDJnJbRE1,253920,4
0.678,0.571,5,-9.51,1,0.0353,0.00389,0.0862,0.183,0.765,130.285,5dXJ1SoksFkgdx3yxIoYNO,276467,4
0.907,0.564,0,-9.29,1,0.0568,0.000928,0.65,0.108,0.229,122.632,0B5kY9i9bmP7554oU4jRoO,245413,4
0.682,0.925,5,-5.896,0,0.121,0.315,0.000718,0.702,0.611,136.27,5g6nzsOxwxdoj6sqAl0NXB,211013,4
0.688,0.782,5,-12.291,0,0.034,0.000235,0.666,0.0955,0.77,127.822,4oUr6mgNSjQjyGs8kbXzU5,264307,4
0.739,0.459,11,-14.42,0,0.0294,0.129,0.0194,0.0474,0.892,107.115,3ZZq9396zv8pcn5GYVhxUi,222320,4
0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,2IHaGyfxNoFPLJnaEg4GTs,270373,4
0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,1h2xVEoJORqrg71HocgqXd,245493,4
0.692,0.711,0,-7.498,0,0.0317,0.225,0.0,0.12,0.875,125.135,1TfqLAPs4K3s2rJMoCokcS,216933,4
0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,08mG3Y1vljYA6bvDt4Wqkj,255493,4
0.778,0.719,4,-9.698,1,0.0345,0.0123,0.0262,0.297,0.729,115.4,569uHYIB0X324FZOBEhvit,239133,4
0.446,0.239,0,-13.945,1,0.0316,0.551,4.1e-06,0.0697,0.298,189.507,18AXbzPzBS8Y3AkgSxzJPb,336453,4
0.724,0.891,11,-7.818,1,0.0995,0.00344,4.72e-05,0.3,0.818,103.022,1Jwc3ODLQxtbnS8M9TflSP,204707,4
0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,3AszgPDZd9q0DpDFt4HFBy,239240,4
0.933,0.528,5,-6.472,0,0.161,0.112,0.312,0.163,0.754,109.967,5vdp5UmvTsnMEMESIF2Ym7,214653,4
0.782,0.866,3,-3.763,0,0.0489,0.0505,1.39e-05,0.218,0.896,138.859,6pBM20jZldvNlbNcnwAX0y,257907,4
0.668,0.43,9,-15.021,1,0.0311,0.415,8.9e-06,0.0569,0.772,92.428,28o8m1o9RGtySbmQJtAvym,260840,4
0.724,0.498,11,-13.083,0,0.0423,0.0405,8.56e-05,0.0761,0.823,88.825,7j74lucZ59vqN67Ipe2ZcY,273173,4
0.721,0.939,8,-11.823,1,0.0376,0.115,3.79e-05,0.108,0.914,113.309,4PTG3Z6ehGkBFwjybzWkR8,213573,4
0.529,0.843,6,-6.908,0,0.0616,0.0628,0.000827,0.0608,0.188,117.662,3MrRksHupTVEQ7YbA0FsZK,310333,4
0.636,0.467,4,-10.1,1,0.0421,0.0915,1.7e-06,0.117,0.58,96.639,2IJftBfq7pJ43tfnOR0RB3,231467,4
0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,40riOy7x9W7GXjyGp4pjAv,391376,4
0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,4u7EnebtmKWzUH433cf5Qv,354320,4
0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,54X78diSLoUDI3joC2bjMz,520787,4
0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-06,0.075,0.158,142.352,0nLiqZ6A27jJri2VCalIUs,388267,3
0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,3YRCqOhFifThpSRFJ1VWFM,536067,4
0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,6WrUT7FOAlDscRWU7ndmyd,242373,4
0.577,0.749,5,-7.215,0,0.0279,0.599,0.0115,0.183,0.255,130.97,2Ygs64z9ywJGakuKU8tr6o,307880,4
0.443,0.403,0,-8.339,1,0.0322,0.631,0.0,0.111,0.41,143.462,7iN1s7xHE4ifF5povM6A48,243027,4
0.228,0.224,7,-12.749,1,0.0311,0.946,0.000222,0.273,0.18,60.3,2TjnCxxQRYn56Ye8gkUKiW,213713,4
0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,7J1uxwnxfQLu4APicE5Rnj,294227,4
0.598,0.676,0,-9.211,1,0.0279,0.13,0.225,0.112,0.805,114.169,5MMnwYs0hIxkENRsbkWJ2G,340742,4
0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,3dPQuX8Gs42Y7b454ybpMR,232107,4
0.808,0.812,8,-5.012,1,0.0381,0.52,7.91e-05,0.134,0.269,100.331,3c7Ctlw9MKlIQPxRH3fOTt,318680,4
0.501,0.439,3,-7.521,0,0.0313,0.482,0.000117,0.087,0.145,138.377,4GCGH6TJ69neckwITeBFXK,406040,4
0.534,0.725,6,-7.576,0,0.0332,0.188,0.0,0.0994,0.763,95.003,7DD7eSuYSC5xk2ArU62esN,139560,4
0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,3BQHpFgAp4l80e1XslIjNI,125667,4
0.815,0.576,9,-13.587,0,0.0335,0.0853,1.4e-05,0.0544,0.978,131.126,5pkDqY7tNnj8lKhCxQR05s,241707,4
0.636,0.476,3,-19.06,1,0.0426,0.0504,3.26e-05,0.067,0.769,83.307,0Oa4zxva6oLFDOzo79n7YX,265293,4
0.556,0.555,10,-17.49,0,0.0361,0.0183,0.000266,0.059,0.853,160.102,2qK9SXNR1bNYD1jpk5eotl,223707,4
0.27,0.944,4,-4.199,1,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,6hTcuIQa0sxrrByu9wTD7s,269920,4
0.795,0.435,4,-8.927,1,0.0324,0.0841,0.00026,0.0763,0.596,108.95,2AkmdLbVKS1steeZdy8H1l,258013,4
0.723,0.856,1,-3.569,1,0.0673,0.146,0.000155,0.0798,0.553,128.047,7iee007QypdrTXbLVF5KuF,204105,4
0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4CeeEOM32jQcH3eN9Q2dGj,301920,4
0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115.0,389QX9Q1eUOEZ19vtzzI9O,285000,4
0.489,0.483,9,-9.466,0,0.0275,0.42,0.0028,0.236,0.333,136.822,4S1VYqwfkLit9mKVY3MXoo,226706,4
0.593,0.63,5,-8.616,1,0.0508,0.206,0.178,0.111,0.348,80.323,34sCPR1Qb9NlWN8cr9ljlP,298160,4
0.535,0.651,10,-6.326,1,0.0544,0.391,0.0,0.133,0.612,117.218,4cIPLtg1avt2Jm3ne9S1zy,179600,4
0.69,0.74,10,-3.342,1,0.0351,0.447,0.0,0.0858,0.657,125.092,2mqaYmF0XmV8egZB6jQOtN,233415,4
0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,3U4isOIWM3VvDubwSI3y7a,269560,4
0.744,0.815,3,-4.013,1,0.0446,0.194,0.000263,0.303,0.347,131.39,0AcgKF7kbSoCkh3n7vlHwK,280760,4
0.398,0.952,4,-6.042,1,0.061,0.000373,7.75e-05,0.1,0.584,122.093,0dOg1ySSI7NkpAe89Zo0b9,278680,4
0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,7e89621JPkKaeDSTQ3avtg,283800,4
0.532,0.887,0,-3.757,1,0.0335,0.0778,0.000214,0.294,0.795,122.511,37ZJ0p5Jm13JPevGcx4SkF,249293,4
0.551,0.913,0,-4.063,0,0.0466,0.0263,1.35e-05,0.347,0.544,119.992,0v1XpBHnsbkCn7iJ9Ucr1l,224493,4
0.87,0.706,1,-5.769,1,0.0417,0.56,0.0,0.104,0.953,122.98,7nuBU1HCcOwG5f1orN4ByW,225932,4
0.649,0.425,4,-9.811,1,0.0267,0.378,0.0013,0.108,0.651,107.383,6Zyz8lsnMFpIrCTuvGurCB,304926,4
0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,29U7stRjqHU6rMiS8BfaI9,139227,4
0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,5T7ywazdGIydr6JCW6t02j,257760,4
0.859,0.905,0,-5.539,0,0.129,0.205,0.00837,0.322,0.731,89.946,3wuCCNCnBhJlwkIJTBZFiv,284160,4
0.464,0.132,5,-12.935,1,0.0283,0.81,1.16e-05,0.0994,0.303,68.152,3vZMkLS1jP7NdNhzqGfUSW,165160,4
0.478,0.965,10,-5.022,1,0.0642,0.000169,0.00251,0.0854,0.347,125.152,0SLtqCrXBRrnkxSOMA3X4W,262000,4
0.741,0.894,4,-3.826,1,0.0496,0.0814,0.0527,0.089,0.96,114.879,2Cy7QY8HPLk925AyNAt6OG,202853,4
0.67,0.776,9,-5.874,1,0.0356,0.0184,0.00294,0.128,0.703,130.128,5RYLa5P4qweEAKq5U1gdcK,264253,4
0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,3Dy4REq8O09IlgiwuHQ3sk,168960,4
0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014,4lhqb6JvbHId48OUJGwymk,255093,4
0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,63OFKbMaZSDZ4wtesuuq6f,210373,4
0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,6XUHsYE38CEbYunT983O9G,248173,4
0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,6vODhpvfWwdsO0i9MBWnEq,282160,4
0.631,0.949,4,-2.671,0,0.0591,0.0302,0.0,0.0882,0.969,164.118,7nKOPOosPKm9M4KeTdmuMp,201307,4
0.826,0.49,9,-10.477,1,0.0676,0.00916,4.41e-06,0.0415,0.627,74.128,7yFvSYKk3g5g8e7Ffl16ws,180267,4
0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,1qDrWA6lyx8cLECdZE7TV7,244885,4
0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,5IMtdHjJ1OtkxbGe4zfUxQ,276493,4
0.505,0.754,4,-7.435,1,0.0366,0.132,0.0,0.204,0.51,119.204,5RKQ5NdjSh2QzD4MaunT91,249600,4
0.851,0.551,4,-5.177,1,0.0396,0.151,0.0,0.0827,0.807,131.922,66S14BkJDxgkYxLl5DCqOz,219467,4
0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,2zYzyRzz6pRmhPzyfMEC8s,208400,4
0.647,0.582,10,-9.538,0,0.0755,0.41,1.93e-06,0.0715,0.915,167.396,4gphxUgq0JSFv2BCLhNDiE,146480,4
0.613,0.487,7,-8.781,1,0.0935,0.412,1.02e-05,0.286,0.699,143.332,5haXbSJqjjM0TCJ5XkfEaC,165800,4
0.692,0.497,2,-7.316,1,0.119,0.676,0.0,0.259,0.475,81.308,4pbJqGIASGPr0ZpGpnWkDn,122067,4
0.559,0.868,5,-5.276,1,0.17,0.0475,0.000176,0.776,0.609,156.295,5T8EDUDqKcs6OSOwEsfqG7,209413,4
0.659,0.857,11,-5.85,1,0.0437,0.0045,1.93e-06,0.335,0.798,106.965,4zP7ADsgJgHGY6VzxbNp1z,201960,4
0.607,0.817,1,-5.926,1,0.11,0.037,0.000607,0.116,0.508,114.482,541jTq3SOEELKvcfA0jHI0,297400,4
0.445,0.872,6,-6.294,0,0.0602,0.00402,0.00909,0.047,0.834,162.407,5Q7cE6wGHMehLFo2ppkk5D,208360,4
0.5,0.501,0,-8.284,0,0.0376,0.462,0.0,0.26,0.623,144.438,0cGG2EouYCEEC3xfa0tDFV,153800,4
0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,3fH4KjXFYMmljxrcGrbPj9,263040,4
0.64,0.852,1,-8.119,0,0.0345,0.0243,1.82e-06,0.0497,0.793,122.902,37Q5anxoGWYdRsyeXkkNoI,246520,4
0.693,0.353,0,-17.852,1,0.0414,0.0704,0.00113,0.503,0.75,104.143,7rPzEczIS574IgPaiPieS3,228587,4
0.791,0.86,2,-8.282,1,0.0451,0.118,0.105,0.0614,0.906,122.3,53pZ8y3yMYUNpclGwIufu0,255760,4
0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,5tVA6TkbaAH9QMITTQRrNv,256000,4
0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,1vxw6aYJls2oq3gW0DujAo,177466,4
0.82,0.615,0,-4.548,1,0.0466,0.151,0.0,0.204,0.768,129.874,3Xzog9enTvbsc0G7G9M58D,193987,4
0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,07q0QVgO56EorrSGHC48y3,271240,4
0.703,0.826,10,-7.179,0,0.0341,0.0322,0.00629,0.179,0.945,103.564,3mRM4NM8iO7UBqrSigCQFH,285373,4
0.407,0.558,0,-13.609,1,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,3N4DI1vuTSX1tz7fa2NQZw,214947,4
0.453,0.987,8,-4.485,1,0.0889,0.0195,0.283,0.268,0.316,123.544,0G21yYKMZoHa30cYVi1iA8,273480,4
0.744,0.502,5,-7.719,1,0.0359,0.183,0.000228,0.189,0.66,112.344,1nQRg9q9uwALGzouOX5OyQ,348227,4
0.605,0.757,3,-5.897,0,0.0554,0.0396,2.6e-06,0.0447,0.828,157.714,0Q6mJSyGsUmg9WXgOcOf7A,246000,4
0.705,0.847,6,-2.588,1,0.0361,0.414,3.21e-06,0.406,0.743,120.527,7sMGwiS4vOMcz86ZY3vKYM,228120,4
0.746,0.79,11,-4.7,0,0.0257,0.0485,0.0261,0.0534,0.891,107.231,46RVKt5Edm1zl0rXhPJZxz,220867,4
0.541,0.96,0,-2.947,0,0.0505,0.0663,2.25e-06,0.344,0.812,122.803,0rmGAIH9LNJewFw7nKzZnc,222707,4
0.776,0.857,11,-4.943,1,0.0704,0.0913,0.000164,0.918,0.799,118.418,1D9KEXIrlmPUkMTdYzqgX4,357493,4
0.661,0.908,5,-4.897,1,0.039,0.052,0.0,0.0708,0.656,144.091,6OnfBiiSc9RGKiBKKtZXgQ,296080,4
0.372,0.833,0,-6.87,1,0.0934,0.225,0.0,0.0814,0.806,107.77,58VaIfHQzC0jflv7zEWyoZ,205680,4
0.742,0.533,0,-9.098,1,0.0288,0.459,0.148,0.064,0.391,97.395,6eDYgjKl4vUgRusxb7THDu,329147,4
0.527,0.942,1,-5.64,0,0.0366,0.0115,0.0,0.188,0.495,148.723,7FwBtcecmlpc1sLySPXeGE,241307,4
0.62,0.936,7,-4.593,1,0.0308,0.0261,0.0,0.0679,0.763,97.527,4YwbSZaYeYja8Umyt222Qf,175747,4
0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,2M9ro2krNb7nr7HSprkEgo,296800,4
0.794,0.811,6,-8.966,0,0.038,0.0426,1.07e-06,0.101,0.862,116.047,2Foc5Q5nqNiosCNqttzHof,248413,4
